game_id,leg_id,score,darts_count,round,remaining,date
738106be-383a-408f-9c0d-7ee5f599b0fe,1,NA,NA,0,301,2020-07-26T22:38:28Z
738106be-383a-408f-9c0d-7ee5f599b0fe,1,50,3,1,251,2020-07-26T22:38:31Z
a9e438da-0ef8-4671-8f4c-f51358238f95,1,NA,NA,0,301,2020-07-26T22:38:28Z
a9e438da-0ef8-4671-8f4c-f51358238f95,1,50,3,1,251,2020-07-26T22:38:32Z
5e89c627-1101-45e1-ae50-381ec67d75ea,1,NA,NA,0,301,2020-07-26T22:38:28Z
5e89c627-1101-45e1-ae50-381ec67d75ea,1,150,3,1,151,2020-07-26T22:38:30Z
5e89c627-1101-45e1-ae50-381ec67d75ea,1,151,3,2,0,2020-07-26T22:38:33Z
e2346b3d-09f4-477b-9f36-f15383c573c7,1,NA,NA,0,301,2020-07-26T22:38:33Z
e2346b3d-09f4-477b-9f36-f15383c573c7,1,60,3,1,241,2020-07-26T22:38:35Z
e2346b3d-09f4-477b-9f36-f15383c573c7,1,40,3,2,201,2020-07-26T22:38:37Z
e2346b3d-09f4-477b-9f36-f15383c573c7,1,90,3,3,111,2020-07-26T22:38:39Z
e2346b3d-09f4-477b-9f36-f15383c573c7,1,111,3,4,0,2020-07-26T22:38:45Z
7bd837d1-1252-48a4-a78a-766064ed3dcf,1,NA,NA,0,301,2020-07-26T22:38:33Z
7bd837d1-1252-48a4-a78a-766064ed3dcf,1,40,3,1,261,2020-07-26T22:38:36Z
7bd837d1-1252-48a4-a78a-766064ed3dcf,1,20,3,2,241,2020-07-26T22:38:38Z
7bd837d1-1252-48a4-a78a-766064ed3dcf,1,100,3,3,141,2020-07-26T22:38:42Z
5bbd67cd-9798-4dce-8c7d-b474fdfa327a,1,NA,NA,0,301,2020-07-26T22:38:33Z
5bbd67cd-9798-4dce-8c7d-b474fdfa327a,1,60,3,1,241,2020-07-26T22:38:36Z
5bbd67cd-9798-4dce-8c7d-b474fdfa327a,1,60,3,2,181,2020-07-26T22:38:38Z
5bbd67cd-9798-4dce-8c7d-b474fdfa327a,1,12,3,3,169,2020-07-26T22:38:43Z
af1a89d7-64d5-47b0-9dec-8940afcf7424,1,NA,NA,0,301,2020-07-26T22:40:04Z
af1a89d7-64d5-47b0-9dec-8940afcf7424,1,60,3,1,241,2020-07-26T22:40:09Z
af1a89d7-64d5-47b0-9dec-8940afcf7424,1,180,3,2,61,2020-07-26T22:40:14Z
15d1cac3-4a83-43fd-b764-17269f3868af,1,NA,NA,0,301,2020-07-26T22:40:04Z
15d1cac3-4a83-43fd-b764-17269f3868af,1,60,3,1,241,2020-07-26T22:40:07Z
15d1cac3-4a83-43fd-b764-17269f3868af,1,180,3,2,61,2020-07-26T22:40:10Z
15d1cac3-4a83-43fd-b764-17269f3868af,1,61,3,3,0,2020-07-26T22:40:15Z
d54ed071-7580-4f3e-a2ac-4fffcf430472,1,NA,NA,0,301,2020-07-26T22:40:04Z
d54ed071-7580-4f3e-a2ac-4fffcf430472,1,60,3,1,241,2020-07-26T22:40:08Z
d54ed071-7580-4f3e-a2ac-4fffcf430472,1,180,3,2,61,2020-07-26T22:40:12Z
cd46cf6c-fc0b-4c5b-bcd7-1cdf70062e27,1,NA,NA,0,301,2020-07-26T22:41:53Z
cd46cf6c-fc0b-4c5b-bcd7-1cdf70062e27,1,60,3,1,241,2020-07-26T22:41:56Z
cd46cf6c-fc0b-4c5b-bcd7-1cdf70062e27,1,60,3,2,181,2020-07-26T22:41:58Z
cd46cf6c-fc0b-4c5b-bcd7-1cdf70062e27,1,1,3,3,180,2020-07-26T22:42:03Z
98ae586f-8fd5-4d50-b264-97fe095a7a0b,1,NA,NA,0,301,2020-07-26T22:41:53Z
98ae586f-8fd5-4d50-b264-97fe095a7a0b,1,60,3,1,241,2020-07-26T22:41:55Z
98ae586f-8fd5-4d50-b264-97fe095a7a0b,1,60,3,2,181,2020-07-26T22:41:57Z
98ae586f-8fd5-4d50-b264-97fe095a7a0b,1,60,3,3,121,2020-07-26T22:41:59Z
98ae586f-8fd5-4d50-b264-97fe095a7a0b,1,121,3,4,0,2020-07-26T22:42:05Z
72c4ce5f-5655-494d-8a3a-303aec4cf704,1,NA,NA,0,301,2020-07-26T22:41:53Z
72c4ce5f-5655-494d-8a3a-303aec4cf704,1,60,3,1,241,2020-07-26T22:41:56Z
72c4ce5f-5655-494d-8a3a-303aec4cf704,1,60,3,2,181,2020-07-26T22:41:58Z
72c4ce5f-5655-494d-8a3a-303aec4cf704,1,0,3,3,181,2020-07-26T22:41:59Z
